,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,predicts
102,2018,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,5.0,1182390.105419816
103,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0,1579154.2271619053
104,2004,113000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,-378021.92744034086
105,2014,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0,428543.73146678065
106,2017,60000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,585785.5157795554
107,2014,80000,Petrol,Individual,Manual,Third Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0,470353.63381487667
108,2009,125876,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,5.0,350570.02890811535
109,2019,5000,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0,943110.1785453367
110,2015,110000,Diesel,Individual,Manual,Second Owner,19.1 kmpl,1405 CC,70 bhp,5.0,334272.6653588044
111,2013,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,5.0,317245.358065604
112,2017,110000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,506920.3091300097
113,2017,140000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,69.01 bhp,7.0,523211.25554865
114,2005,90000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5.0,-209773.97802402824
115,2007,70000,Petrol,Individual,Manual,Third Owner,15.9 kmpl,1298 CC,85 bhp,5.0,129258.41568307718
116,1995,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0,-203819.38398354896
117,2017,60000,Diesel,Individual,Automatic,Second Owner,17.01 kmpl,1582 CC,126.2 bhp,5.0,1231436.8844218133
119,2013,100000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,5.0,326545.364427318
120,2017,100000,Diesel,Individual,Manual,Second Owner,16.5 kmpl,1493 CC,70 bhp,7.0,404667.9263459116
121,2017,31000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,5.0,570669.6025199022
122,2017,26000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.3 bhp,5.0,1167202.992580054
123,2013,80000,Petrol,Individual,Manual,Second Owner,15.1 kmpl,1196 CC,73 bhp,5.0,200180.1093604844
124,2011,90000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1197 CC,80 bhp,5.0,219013.05858170218
125,2018,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,573673.6014979893
126,2018,10000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,5.0,324598.74887367897
127,2012,80000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,14861.8461456995
128,2008,100000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,1991 CC,147.9 bhp,7.0,787050.8261110453
129,2010,148000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5.0,124632.81562913198
130,2009,90000,Petrol,Individual,Manual,Second Owner,0.0 kmpl,1086 CC,62 bhp,5.0,-181635.05274332524
131,2016,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0,500710.99073604133
132,2013,90000,Diesel,Individual,Manual,Second Owner,19.4 kmpl,1405 CC,70 bhp,5.0,274737.36209708336
133,2012,215000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,7.0,691524.9939402479
134,2017,25000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67 bhp,5.0,409299.42495143204
135,2012,87000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,470882.42602456355
136,2012,120000,Diesel,Individual,Manual,Second Owner,21.03 kmpl,1461 CC,65 bhp,5.0,195600.91634482215
137,2017,70000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0,688292.1029657797
138,2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,240713.6512614102
139,2017,60000,Diesel,Individual,Manual,Second Owner,16.5 kmpl,1493 CC,70 bhp,7.0,425018.3232469738
140,2011,175000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,-156979.63519457518
141,2012,40000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,5.0,365406.42962513445
142,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0,950102.2539671038
143,2019,40000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0,620682.7242691208
144,2012,30000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1298 CC,85.8 bhp,5.0,387112.49719731475
146,2018,39000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5.0,744107.6554148297
147,2017,80000,Petrol,Individual,Manual,Second Owner,20.63 kmpl,1198 CC,67 bhp,5.0,335337.38869686774
148,2019,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5.0,1996535.902276557
150,2013,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,66208.27345612657
151,2018,70000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5.0,777996.2315092839
152,2019,6000,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,5.0,736898.4774426566
153,2004,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,-351057.65154643334
154,2014,120000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0,1019067.5869734657
155,2011,181000,Diesel,Individual,Manual,Second Owner,11.5 kmpl,2982 CC,171 bhp,7.0,1141855.695712909
156,2009,100000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,5.0,145454.67678935535
157,2014,50000,Petrol,Individual,Manual,Third Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,125484.80963729473
158,2017,63982,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0,812377.3500639895
159,2011,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,209716.88956527167
160,2012,48000,CNG,Individual,Manual,First Owner,13.2 km/kg,1495 CC,93.7 bhp,5.0,466580.3988723733
161,2016,39000,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0,1101753.678108266
162,2011,90000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0,224979.68724106834
163,2003,90000,Petrol,Individual,Manual,Second Owner,13.2 kmpl,1495 CC,94 bhp,5.0,33242.222507402534
164,2007,147500,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,7.0,358930.28347831627
165,2008,60000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,1995 CC,52 bhp,5.0,-62199.47251965967
166,2016,90000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0,424864.5398035465
167,2017,80000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0,548626.3786168103
168,2004,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7.0,-96802.81490018847
169,2017,25000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,588587.609701406
170,2004,93415,Diesel,Dealer,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,7.0,801236.0714686338
171,2019,15000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,5.0,627237.6949333323
172,2010,106000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,192291.31899728638
173,2013,70000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0,326175.3467471496
174,2015,90000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,429809.5180172393
175,2016,71000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0,726161.1957241141
176,2006,100000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,5.0,27760.352390986984
177,2017,31000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,226675.11177684355
178,2017,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,532502.3726380933
179,2006,93000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1197 CC,85 bhp,5.0,58487.85916785209
180,2017,60000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7.0,1221935.1234387779
181,2017,90000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,668762.8922070838
182,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5.0,1889671.6311241644
183,2015,75000,Diesel,Individual,Manual,First Owner,14.07 kmpl,2956 CC,69.01 bhp,7.0,484113.39124361554
184,2010,120000,Petrol,Individual,Manual,Third Owner,15.6 kmpl,1196 CC,70 bhp,5.0,65090.52888207324
185,2012,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0,307302.942966282
186,2013,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,8.0,693593.3440444628
187,2017,20000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,232271.47092463553
188,2010,70000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,81926.6630761713
189,2010,86017,Diesel,Dealer,Manual,Second Owner,25.5 kmpl,1498 CC,99.23 bhp,5.0,603563.9811529291
190,2008,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,-211810.73223317764
191,2017,28000,Petrol,Individual,Manual,Second Owner,23.84 kmpl,1199 CC,84 bhp,5.0,542914.5814044236
192,2010,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0,241801.01579591015
193,2018,15000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0,715524.1719979908
194,2015,150546,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0,538312.9106353151
195,2019,20000,CNG,Individual,Manual,First Owner,32.26 km/kg,998 CC,58.3 bhp,4.0,1066177.3640829106
196,2016,82000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,85.80 bhp,5.0,468584.2446488029
197,2005,120000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8.0,395328.2865763729
198,2019,40000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,5.0,882130.3691484391
199,2014,50000,Diesel,Individual,Manual,First Owner,13.58 kmpl,2499 CC,72.4 bhp,9.0,492080.8228802339
200,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0,950102.2539671038
201,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0,2106165.1460963516
202,2013,32000,Petrol,Individual,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5.0,709654.9653327403
203,2012,111000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,-34908.159995027236
204,2014,132000,Diesel,Dealer,Manual,Second Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0,616094.4182264693
205,2013,46000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,84.8 bhp,5.0,403945.19695032283
206,2014,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,5.0,450216.4073169326
207,2011,375000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8.0,482096.2841398829
209,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0,658074.8132133798
210,2017,25000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,5.0,185885.39557371626
211,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0,1918280.343252071
212,2018,12000,Diesel,Dealer,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6.0,984432.1927316952
213,2016,100000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,5.0,458766.659094519
214,2012,35000,Diesel,Individual,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,5.0,286555.3620592719
215,2006,264000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8.0,358150.487367179
216,2012,80000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,794189.9295453986
217,2018,13000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1194 CC,94.93 bhp,5.0,710994.2232742261
218,2018,44000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,7.0,462104.29716880945
219,2013,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1199 CC,79.4 bhp,5.0,292425.5764196719
220,2010,55000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,89558.06191406958
221,2018,75000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1498 CC,108.5 bhp,5.0,1182390.105419816
222,2014,60000,Petrol,Individual,Manual,Second Owner,20.92 kmpl,998 CC,67.1 bhp,5.0,224910.73254744534
223,2016,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0,518226.8068722745
224,2014,46000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,81.86 bhp,5.0,367051.8095378487
225,2014,90000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0,522726.14922626235
226,2011,43500,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,5.0,189185.56737400487
227,2015,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0,695463.7221847981
228,2011,46000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0,177209.69308214402
229,2014,25000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,115010.9011539208
230,2017,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0,698467.3014163108
231,2018,30000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0,595797.1234776861
232,2012,120000,Diesel,Individual,Manual,Second Owner,13.5 kmpl,2179 CC,115 bhp,5.0,645235.3876593151
233,2014,90000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0,417049.2078820842
234,2016,52000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,5.0,646689.1649216108
235,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0,658074.8132133798
